"","Percentile","N","Probability","Min_Score","Median_Score","Max_Score","E(Num_Default)","Cum_E(Num_Default)","Percentage_Default","Ave_Amount","E(default_amnt)","Cum_E(default_amnt)"
"10",1,10468,0.25,495,718,735,2617,13400,0.13,9267.1952617501,24252250,152510342.759281
"9",2,10468,0.19,736,746,754,1989,10783,0.1,10151.4759266335,20191285.6180741,128258092.759281
"8",3,10468,0.16,755,760,765,1675,8794,0.08,10654.5209209018,17846322.5425105,108066807.141207
"7",4,10468,0.14,766,771,775,1466,7119,0.07,11122.5783339702,16305699.8376003,90220484.5986961
"6",5,10468,0.13,776,780,783,1361,5653,0.05,11725.7809514711,15958787.8749522,73914784.7610958
"5",6,10468,0.11,784,787,790,1151,4292,0.04,12258.5235957203,14109560.6586741,57955996.8861435
"4",7,10468,0.1,791,794,798,1047,3141,0.03,12796.8499235766,13398301.8699847,43846436.2274695
"3",8,10468,0.09,799,802,806,942,2094,0.02,13549.6704241498,12763789.5395491,30448134.3574848
"2",9,10468,0.07,807,811,816,733,1152,0.01,14570.7011845625,10680323.9682843,17684344.8179356
"1",10,10468,0.04,817,824,850,419,419,0,16716.040213965,7004020.84965135,7004020.84965135
